compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids,diagnostic_tag,material_diagnostic_score
COC,Cyclic Olefin Copolymer,C2H6,positive,1,30.04695019338,0.882,0.692,4,2,2,fragment;fragment_h_shift,node_0316,M | break 1 bond(s) | protonation,node_0316;node_0328;node_0356;node_0368,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C3H5,positive,1,41.03912516115,0.8800000000000001,0.79,2,1,2,feature_rule,node_0257,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C3H5,node_0257;node_0282,generic_hydrocarbon_background,0.0
COC,Cyclic Olefin Copolymer,C4H7,positive,1,55.05477522561,0.8800000000000001,0.79,2,1,2,feature_rule,node_0258,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C4H7,node_0258;node_0286,generic_hydrocarbon_background,0.0
COC,Cyclic Olefin Copolymer,C5H7,positive,1,67.05477522561,0.8800000000000001,0.79,2,1,2,feature_rule,node_0259,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C5H7,node_0259;node_0289,validated_generic,0.5
COC,Cyclic Olefin Copolymer,C5H9,positive,1,69.07042529007,0.8800000000000001,0.79,2,1,2,feature_rule,node_0260,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C5H9,node_0260;node_0290,validated_generic,0.5
COC,Cyclic Olefin Copolymer,C6H9,positive,1,81.07042529007,0.8800000000000001,0.79,2,1,2,feature_rule,node_0261,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C6H9,node_0261;node_0294,validated_generic,0.5
COC,Cyclic Olefin Copolymer,C4H9,positive,1,57.07042529007,0.8780000000000001,0.6580000000000001,4,2,4,feature_rule;recombination,node_0287,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H9,node_0287;node_0438;node_0538;node_0876,generic_hydrocarbon_background,0.0
COC,Cyclic Olefin Copolymer,C10H17,positive,1,137.13302554791,0.8740000000000001,0.6540000000000001,18,2,18,fragment;recombination,node_0310,M | break 1 bond(s) | electron_loss,node_0310;node_0330;node_0448;node_0460;node_0556;node_0568;node_0612;node_0624;node_0720;node_0732;node_0894;node_0918;node_0938;node_0950;node_1122;node_1146;node_1154;node_1166,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C10H17,negative,-1,137.13302554791,0.8740000000000001,0.6540000000000001,10,2,10,fragment;recombination,node_0311,M | break 1 bond(s) | electron_gain,node_0311;node_0331;node_0895;node_0919;node_0939;node_0951;node_1123;node_1147;node_1155;node_1167,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C2H5,positive,1,29.03912516115,0.8580000000000001,0.6580000000000001,3,2,3,feature_rule;fragment,node_0280,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C2H5,node_0280;node_0314;node_0326,generic_hydrocarbon_background,0.0
COC,Cyclic Olefin Copolymer,C9H14,positive,1,122.10955045122,0.8560000000000001,0.6060000000000001,9,3,9,fragment;fragment_h_shift;recombination,node_0338,M | break 2 bond(s) | electron_loss,node_0338;node_0358;node_0362;node_0454;node_0562;node_0682;node_0694;node_0908;node_1136,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C8H11,negative,-1,107.08607535453,0.834,0.6439999999999999,4,2,2,fragment;fragment_h_shift,node_0337,M | break 2 bond(s) | deprotonation,node_0337;node_0349;node_0375;node_0387,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C10H16,positive,1,136.12520051568,0.8200000000000001,0.6000000000000001,14,2,14,fragment_h_shift;recombination,node_0350,M | break 1 bond(s) | h_shift_-1 | electron_loss,node_0350;node_0370;node_0446;node_0458;node_0554;node_0566;node_0610;node_0622;node_0718;node_0730;node_0892;node_0916;node_1120;node_1144,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C10H11,positive,1,131.08607535453,0.79,0.79,1,1,1,feature_rule,node_0274,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C10H11,node_0274,validated_diagnostic,0.8
COC,Cyclic Olefin Copolymer,C10H13,positive,1,133.10172541899,0.79,0.79,1,1,1,feature_rule,node_0275,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C10H13,node_0275,feature_supported_candidate,0.3
COC,Cyclic Olefin Copolymer,C10H7,negative,-1,127.05477522561,0.79,0.79,1,1,1,feature_rule,node_0278,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C10H7,node_0278,feature_supported_candidate,0.3
COC,Cyclic Olefin Copolymer,C10H9,positive,1,129.07042529007,0.79,0.79,1,1,1,feature_rule,node_0273,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C10H9,node_0273,validated_diagnostic,0.8
COC,Cyclic Olefin Copolymer,C3H3,negative,-1,39.02347509669,0.79,0.79,1,1,1,feature_rule,node_0264,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C3H3,node_0264,validated_diagnostic,0.8
COC,Cyclic Olefin Copolymer,C4H3,negative,-1,51.02347509669,0.79,0.79,1,1,1,feature_rule,node_0265,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C4H3,node_0265,validated_diagnostic,0.8
COC,Cyclic Olefin Copolymer,C5H5,negative,-1,65.03912516115,0.79,0.79,1,1,1,feature_rule,node_0266,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C5H5,node_0266,validated_diagnostic,0.8
COC,Cyclic Olefin Copolymer,C8H7,negative,-1,103.05477522561,0.79,0.79,1,1,1,feature_rule,node_0276,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C8H7,node_0276,feature_supported_candidate,0.3
COC,Cyclic Olefin Copolymer,C8H9,positive,1,105.07042529007,0.79,0.79,1,1,1,feature_rule,node_0267,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C8H9,node_0267,validated_diagnostic,0.8
COC,Cyclic Olefin Copolymer,C9H11,positive,1,119.08607535453,0.79,0.79,1,1,1,feature_rule,node_0271,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C9H11,node_0271,validated_diagnostic,0.8
COC,Cyclic Olefin Copolymer,C9H7,negative,-1,115.05477522561,0.79,0.79,1,1,1,feature_rule,node_0277,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C9H7,node_0277,feature_supported_candidate,0.3
COC,Cyclic Olefin Copolymer,C9H9,positive,1,117.07042529007,0.79,0.79,1,1,1,feature_rule,node_0270,M | cyclic_aliphatic | cyclic_aliphatic_fragments | cycloaliphatic_C9H9,node_0270,validated_diagnostic,0.8
COC,Cyclic Olefin Copolymer,C11H20,positive,1,152.1565006446,0.786,0.5660000000000001,21,2,21,parent;recombination,node_0432,node_0003 + node_0016 | single_dehydrogenative_recombination | protonation,node_0306;node_0432;node_0436;node_0468;node_0476;node_0504;node_0512;node_0544;node_0548;node_0862;node_0870;node_0904;node_0922;node_0926;node_0944;node_0966;node_1014;node_1042;node_1086;node_1132;node_1160,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C11H19,negative,-1,151.14867561237,0.756,0.5359999999999999,21,2,21,parent;recombination,node_0865,node_0014 + node_0017 | h_transfer_recombination | deprotonation,node_0309;node_0431;node_0435;node_0467;node_0475;node_0503;node_0511;node_0543;node_0547;node_0865;node_0873;node_0903;node_0925;node_0929;node_0943;node_0969;node_1017;node_1045;node_1089;node_1131;node_1159,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C11H21,positive,1,153.16432567683,0.756,0.5359999999999999,9,2,9,parent;recombination,node_0864,node_0014 + node_0017 | h_transfer_recombination | protonation,node_0308;node_0864;node_0872;node_0924;node_0928;node_0968;node_1016;node_1044;node_1088,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C2H5,negative,-1,29.03912516115,0.7440000000000002,0.6540000000000001,2,1,2,fragment,node_0315,M | break 1 bond(s) | electron_gain,node_0315;node_0327,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C7H9,negative,-1,93.07042529007,0.744,0.6439999999999999,2,2,1,fragment;fragment_h_shift,node_0345,M | break 2 bond(s) | deprotonation,node_0345;node_0383,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C12H22,positive,1,166.17215070906,0.736,0.5660000000000001,16,1,16,recombination,node_0392,node_0002 + node_0014 | single_dehydrogenative_recombination | protonation,node_0392;node_0404;node_0428;node_0444;node_0536;node_0552;node_0576;node_0588;node_0754;node_0778;node_0822;node_0834;node_0886;node_0934;node_1114;node_1150,structural_candidate_only,0.1
COC,Cyclic Olefin Copolymer,C4H10,positive,1,58.0782503223,0.736,0.5660000000000001,4,1,4,recombination,node_0440,node_0003 + node_0020 | single_dehydrogenative_recombination | protonation,node_0440;node_0540;node_0878;node_0930,structural_candidate_only,0.1
